Source,Type,section-nr,book-nr
,,1,3
,,5,3
euripides,individual,5,3
,,6,3
isaios,individual,6,3
,,7,3
homeros,individual,7,3
herodotos,individual,7,3
,,8,3
platon_phil,individual,9,3
,,9,3
platon_phil,individual,9,3
attic,group,9,3
,,10,3
attic,group,10,3
platon_phil,individual,10,3
sophokles,individual,10,3
,,11,3
,,12,3
,,13,3
isaios,individual,13,3
platon_phil,individual,13,3
sophokles,individual,13,3
poetry,group,13,3
,,14,3
kratinos,individual,14,3
platon_phil,individual,14,3
,,15,3
isaios,individual,15,3
poetry,group,15,3
platon_phil,individual,15,3
homeros,individual,15,3
,,16,3
poetry,group,16,3
poetry,group,16,3
euripides,individual,16,3
poetry,group,16,3
,,17,3
pindaros,individual,17,3
isokrates,individual,17,3
aristoteles,individual,17,3
,,18,3
phaidon,individual,18,3
undefined,group,18,3
philonides or nikophon,individual,18,3
,,19,3
undefined,group,19,3
poetry,group,19,3
hesiodos,individual,19,3
,,20,3
poetry,group,20,3
homeros,individual,20,3
undefined,group,20,3
hoi-nyn,group,20,3
,,21,3
euboulos,individual,21,3
undefined,group,21,3
aristophanes_com,individual,21,3
,,22,3
,,23,3
platon_phil,individual,23,3
idiotes,group,23,3
poetry,group,23,3
,,24,3
undefined,group,24,3
isokrates,individual,24,3
,,25,3
kallias,individual,25,3
herodotos,individual,25,3
xenophon,individual,25,3
,,26,3
,,27,3
kerkidas,individual,27,3
hypereides,individual,27,3
theopompos_com,individual,27,3
deinarchos,individual,27,3
strattis,individual,27,3
hypereides,individual,27,3
,,28,3
demosthenes,individual,28,3
solon,individual,28,3
,,29,3
menandros,individual,29,3
menandros,individual,29,3
,,30,3
poetry,group,30,3
herodotos,individual,30,3
thoukydides,individual,30,3
demosthenes,individual,30,3
platon_phil,individual,30,3
,,31,3
sicilian,group,31,3
attic,group,31,3
poetry,group,31,3
,,32,3
sappho,individual,32,3
poetry,group,32,3
,,33,3
undefined,group,33,3
isaios,individual,33,3
solon,individual,33,3
,,34,3
homeros,individual,34,3
lykourgos,individual,34,3
,,35,3
palaioi,group,35,3
aischines_rhet,individual,35,3
,,36,3
,,36,3
amphis,individual,36,3
homeros,individual,36,3
,,37,3
poetry,group,37,3
,,38,3
,,39,3
theopompos_com,individual,39,3
,,40,3
,,41,3
,,42,3
aristophanes_com,individual,42,3
herodotos,individual,42,3
diokles,individual,42,3
alexis,individual,42,3
,,43,3
aristophanes_com,individual,43,3
hypereides,individual,43,3
,,44,3
homeros,individual,44,3
,,45,3
undefined,group,45,3
phrynichos,individual,45,3
sophokles,individual,45,3
,,46,3
,,47,3
poetry.comedy.new,group,47,3
,,48,3
aristophanes_com,individual,48,3
phrynichos,individual,48,3
ameipsias,individual,48,3
,,49,3
herodotos,individual,49,3
platon_phil,individual,49,3
,,50,3
anakreon,individual,50,3
undefined,group,50,3
eupolis,individual,50,3
,,51,3
euripides,individual,51,3
poetry,group,51,3
,,52,3
,,53,3
hypereides,individual,53,3
,,54,3
archippos,individual,54,3
platon_phil,individual,54,3
poetry,group,54,3
,,55,3
platon_phil,individual,55,3
,,56,3
poetry.comedy.new,group,56,3
poetry.comedy.old,group,56,3
philistos,individual,56,3
platon_phil,individual,56,3
,,57,3
isaios,individual,57,3
,,58,3
platon_phil,individual,58,3
theopompos_hist,individual,58,3
euripides,individual,58,3
herodotos,individual,58,3
demosthenes,individual,58,3
,,59,3
